year	month	Campaign or payout strategy changes summary (with in 15 words)	details
2020	3	Launched 'Spring Boost' campaign offering extra bonuses for active conversions.	"To stimulate Q1 growth, an extra $50 per FTT was awarded if total monthly FTTs exceeded 10."
2020	9	Restructured payout tiers and introduced a new VIP level for top performers.	"Affiliates generating over 50 FTTs monthly now qualify for VIP status, unlocking faster withdrawals and higher CPA."
2021	1	"Rolled out 'New Year, New Partners' sub-affiliate referral bonus program."	Introduced a one-time $100 flat bonus for referring a new sub-affiliate who successfully brings in at least 3 FTTs.
2021	7	Increased base CPA payouts for high-quality cryptocurrency traffic sources.	Adjusted the baseline CPA up by 10% to incentivize affiliates focusing on high-value crypto-trader acquisitions.
2022	4	Initiated Q2 Conversion Sprint campaign with extra commission multipliers.	Offered an extra 5% commission on margin generated by newly onboarded clients during the month of April.
2022	11	Launched 'World Cup' promotional campaign offering double conversion points.	Affiliates utilizing sports-themed marketing materials received a 2x multiplier on standard CPA payouts for the tournament duration.
2023	2	Implemented stricter payout policies with mandatory anti-fraud KYC reviews.	Payouts for unverified traffic sources are now delayed by 15 days to allow for thorough manual risk and fraud checks.
2023	8	Hosted the 'Summer Fiesta' high-volume affiliate cash reward contest.	"The top 10 affiliates globally by FTT volume received massive cash bonuses, with the first place taking home $10,000."
2024	1	Introduced an optional Hybrid commission model combining CPA and RevShare.	Affiliates can now opt into a flexible model combining a lower upfront CPA with a lifetime 40% Revenue Share.
2024	9	Raised the minimum monthly payout threshold from $100 to $200.	"To offset rising international bank wire fees, the minimum balance required to trigger an automatic payout was increased."
2025	3	Executed the 5th Anniversary Super-Scale flat 1.5x multiplier campaign.	All standard FTTs generated in March received a flat 1.5x payout multiplier to celebrate the company anniversary.
2025	11	Deployed Holiday Season Retention bonus for reactivating past dormant users.	Affiliates earned a special $30 bonus for every client who deposited after 6 months of complete inactivity.
2026	4	Rolled out Q2 'Spring Surge' CPA bump for targeted regional traffic.	A temporary 15% increase in base CPA was applied to traffic originating from Southeast Asia and LATAM regions.
